Country Code,IMF Country Code,Country,Indicator Type,Series Name,2016,2017,2018,2019,2020,2021,2022,Note
ABW,314,Aruba,Inflation,Headline Consumer Price Inflation,-0.89,-0.47,3.58,4.26,1.22,0.74,6.04,Annual average inflation
AFG,512,Afghanistan,Inflation,Headline Consumer Price Inflation,4.38,4.98,0.63,2.3,5.44,5.06,,Annual average inflation
AGO,614,Angola,Inflation,Headline Consumer Price Inflation,32.38,29.84,19.63,17.08,21.02,23.85,21.35,Annual average inflation
ALB,914,Albania,Inflation,Headline Consumer Price Inflation,1.29,1.99,2.03,1.41,1.62,2.04,6.73,Annual average inflation
ARE,466,United Arab Emirates,Inflation,Headline Consumer Price Inflation,1.62,1.97,3.06,-1.93,-2.08,0.18,5.22,Annual average inflation
ARG,213,Argentina,Inflation,Headline Consumer Price Inflation,39.4,25.68,34.28,53.55,42.02,48.41,72.43,Annual average inflation
ARM,911,Armenia,Inflation,Headline Consumer Price Inflation,-1.41,1.03,2.52,1.44,1.21,7.18,8.78,Annual average inflation
ATG,311,Antigua and Barbuda,Inflation,Headline Consumer Price Inflation,-0.49,2.43,1.21,1.48,1.06,1.63,8.52,Annual average inflation
AUS,193,Australia,Inflation,Headline Consumer Price Inflation,1.28,1.97,1.91,1.61,0.85,2.82,6.5,Annual average inflation
AUT,122,Austria,Inflation,Headline Consumer Price Inflation,0.89,2.23,2,1.49,1.38,2.77,8.5,Annual average inflation
AZE,912,Azerbaijan,Inflation,Headline Consumer Price Inflation,12.44,12.84,2.33,2.71,2.76,6.65,13.85,Annual average inflation
BDI,618,Burundi,Inflation,Headline Consumer Price Inflation,5.56,16.64,-2.81,-0.71,7.32,8.31,17.34,Annual average inflation
BEL,124,Belgium,Inflation,Headline Consumer Price Inflation,1.97,2.22,2.05,1.25,0.74,2.44,9.6,Annual average inflation
BEN,638,Benin,Inflation,Headline Consumer Price Inflation,-0.85,1.77,0.83,-0.93,3.02,5.92,1.31,Annual average inflation
BFA,748,Burkina Faso,Inflation,Headline Consumer Price Inflation,-0.24,0.35,1.96,-3.23,1.88,3.85,14.29,Annual average inflation
BGD,513,Bangladesh,Inflation,Headline Consumer Price Inflation,5.51,5.61,5.55,5.47,5.69,5.31,7.7,Annual average inflation
BGR,918,Bulgaria,Inflation,Headline Consumer Price Inflation,-0.8,1.19,2.81,2.46,1.67,2.79,15.33,Annual average inflation
BHR,419,Bahrain,Inflation,Headline Consumer Price Inflation,2.8,1.39,2.08,1,-2.32,-0.61,3.61,Annual average inflation
BHS,313,"Bahamas, The",Inflation,Headline Consumer Price Inflation,-0.35,1.55,2.23,1.34,0.04,2.91,5.66,Annual average inflation
BIH,963,Bosnia and Herzegovina,Inflation,Headline Consumer Price Inflation,-1.06,0.81,1.27,0.62,-1.05,1.98,13.66,Annual average inflation
BLR,913,Belarus,Inflation,Headline Consumer Price Inflation,11.8,6.03,4.87,5.6,5.55,9.46,15.21,Annual average inflation
BLZ,339,Belize,Inflation,Headline Consumer Price Inflation,0.66,1.15,0.24,0.19,0.12,3.26,6.18,Annual average inflation
BOL,218,Bolivia,Inflation,Headline Consumer Price Inflation,3.63,2.82,2.27,1.84,0.94,0.74,1.75,Annual average inflation
BRA,223,Brazil,Inflation,Headline Consumer Price Inflation,8.74,3.45,3.66,3.73,3.21,8.3,9.3,Annual average inflation
BRB,316,Barbados,Inflation,Headline Consumer Price Inflation,1.28,4.41,3.69,4.1,2.88,3.06,9.9,Annual average inflation
BRN,516,Brunei Darussalam,Inflation,Headline Consumer Price Inflation,-0.74,-0.17,0.15,-0.42,1.94,1.74,3.81,Annual average inflation
BTN,514,Bhutan,Inflation,Headline Consumer Price Inflation,4.31,5.53,2.72,2.6,5.63,7.33,12.62,Annual average inflation
BWA,616,Botswana,Inflation,Headline Consumer Price Inflation,2.78,3.3,3.22,2.85,1.89,7.24,11.59,Annual average inflation
CAF,626,Central African Republic,Inflation,Headline Consumer Price Inflation,4.01,4.46,1.61,2.68,2.3,4.26,6.53,Annual average inflation
CYM,136,Cayman Islands,Inflation,Headline Consumer Price Inflation,-0.59,2,3.3,5.7,1,0.76,8.2,Annual average inflation
CAN,156,Canada,Inflation,Headline Consumer Price Inflation,1.43,1.6,2.27,1.95,0.72,3.4,6.8,Annual average inflation
