wb_name,wb_code,wb_income,wb_region,unit,year,id,totwealth,pk,nk,renew,for_tim,for_notim,mangroves,fisheries,pa,land,cropland,pasture,subsoil,ene,oil,gas,coal,min,hc,hc_m,hc_emp_m,hc_self_m,hc_f,hc_emp_f,hc_self_f,nfa,pop
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,1995,ABW.1995,..,7230454909,4566669.49,4566669.49,578921.1752,886095.3416,0,3101652.974,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-477104801,80324
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,1996,ABW.1996,..,7833860791,4743624.211,4743624.211,528591.5027,915859.3918,0,3299173.317,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-390651490.9,83200
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,1997,ABW.1997,..,8515618440,5084093.385,5084093.385,520746.9109,886095.092,0,3677251.382,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-573368854,85451
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,1998,ABW.1998,..,9159093357,4681846.397,4681846.397,531885.3501,887091.7046,0,3262869.343,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-245680799.5,87277
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,1999,ABW.1999,..,9618553888,4679428.401,4679428.401,519905.6085,886095.2146,0,3273427.578,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-1403779418,89005
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2000,ABW.2000,..,9953015567,3297457.434,3297457.434,485358.8507,902938.0253,0,1909160.558,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-1193097273,90853
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2001,ABW.2001,..,10263039990,2688998.425,2688998.425,485637.773,912906.6736,0,1290453.979,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-917368095.1,92898
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2002,ABW.2002,..,10632698619,4288726.997,4288726.997,448613.0102,851673.0883,0,2988440.898,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-1307707134,94992
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2003,ABW.2003,..,11051622246,4124168.856,4124168.856,434483.8142,923203.4974,0,2766481.544,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-1442484902,97017
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2004,ABW.2004,..,11486981852,12699817.33,12699817.33,439783.36,912906.7236,0,11347127.25,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-1837544619,98737
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2005,ABW.2005,..,12043913084,12732905.96,12732905.96,437166.2661,810643.7406,0,11485095.96,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-2450953173,100031
Aruba,ABW,High income: non-OECD,Latin America & Caribbean,constant year 2018 USD,2006,ABW.2006,..,12636299165,11377175.18,11377175.18,476481.4166,914913.9987,0,9985779.764,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,-2972023865,100834
