CountryCode,Summary
"AFG
","About the size of the U.S. State of Texas, Afghanistan occupies an area of 647,230 km2 (249,900 sq mi) in Southern Asia.As observed on the physical map of the country above, most of Afghanistan is a rugged, inhospitable mountainous landscape. More than 50% of the total land area lies above 6,500 ft. (2,000 m). It all culminates in the high peaks of the Hindu Kush, where extensions of the Pamir Mountains, Karakorum Mountains and the Himalayas all come together.Afghanistan's highest point is Mt. Nowshak (marked on the map by a yellow triangle) which peaks at 24,446 ft. (7,485 m).In the north, a fertile plain front theAmu Darya River. In the south, below the mountains, rolling desert and scattered salt flats cover the land.Afghanistan is drained by numerous rivers; significant ones include the Amu Darya, Hari, Helmand, and the Kabul - directly east of the capital city, flowing down into the Indus River in Pakistan.In 2009 Afghanistan designated a portion of the Hindu Kush Mountains, known as Band-e Amir, their first national park. The park contains six deep blue lakes, Band-e Gholaman, Band-e Qambar, Band-e Haibat, Band-e Panir, Band-e Pudina and Band-e Zulfiqar, all of which are separated by natural dams.
"
"ALB
","Albania is a sovereing country occupying an area of 28,748 sq. km (11,100 sq mi) in southeast Europe. As observed on the physical map of Albania, the country exhibits significant diversity in topography. The landscape ranges from snow-capped mountains to warm and sunny coastal areas along the Ionian and Adriatic seas.From the broad and swampy coastal plain fronting the Adriatic Sea, the land rises into hills and mountains that makes up roughly 70% of the country's area. Marked on the map above are the major mountain ranges of Albania- the Albanian Alps, and the Korab and Pindus Mountains. The highest point is Mt. Karabit in the Korab mountains at 9,066 ft (2,764 m). The mountain is located on Albania's border with North Macedonia. A yellow triangle marks the position of this point on the map.From the mountains, flowing inland toward the Adriatic Sea, are significant rivers like the Drin and Vlore. The three major lakes of Albania include Shkodra (shared with Montenegro), Ohrid and Prespa (both shared with Macedonia). Lake Ohrid is the deepest lake in the Balkans, and reaches depths of 935 ft (284 m). The lowest point in Albania is the Adriatic Sea at 0 m.
"
"DZA
","The map illustrates Algeria's landscape which consists mostly of high plateaus and the Sahara Desert.The Atlas mountains sit to the north, and the Ahaggar Massif is southeast. The high plateaus stretch for more than 372 miles (600 km) and consist of undulating, steppe-like plains averaging 3,608 - 4,265 ft (1,100 - 1,300 m) and dropping to 1,312 ft (400 m) as you move east. The highest point of the country is Mt. Tahat at 9,850 ft. (3,003 m); the lowest point is Lake Chott Melrhir at -131 ft. (-40 m). Lake Chott Melrhir is an endorheic (closed basin) salt lake whose size varies throughout the year, yet is the largest lake in Algeria with its maximum area about 2,600 sq. miles (6,700 sq km). To the north is a hilly and narrow coastal plain along theMediterranean Seawith a few small rivers.
"
"AND
","Andorra is a tiny landlcoked nation occupying an area of 467.63 km2(180.55 sq mi) in southwestern Europe.As observed on the physical map of Andorra, the is predominantly covered by rugged mountains of the Pyrenees. The highest elevation in the country is Coma Pedrosa at 2,942 m (9,652 ft). Also seen on the map above are three narrow river valleys that join to form the Gran Valira River that leaves Andorra and enters Spain.The lowest point of Andorra is 840 m or 2,756 ft at the Gran Valira River.  The highest and lowest points have been marked on the map by upright and inverted yellow triangles respectively.
"
"AGO
","The physical map illustrates the four principal regions of Angola:  an arid coastal lowland, hills and mountains that rise inland, a vast plain known as the high plateau (planalto), and rain forest. The mostly flat coastal plain stretches inland for 30 to 100 miles into a belt of rolling hills and a series of scattered mountains. The highest point of the country, Morro de Moco, peaks at 8,592 ft (2,620 m), and is located in the Ahaggar Mountains. Conversely, the lowest point of the country is theAtlantic Ocean(0 m). Angola's elevated high plateau rises 4,000 to 6,000 ft. (1,200 to 1,800 m), lies to the east of the hills and mountains and dominates Angola's terrain. The Zambezi River and several tributaries of the Congo River flow through Angola. Additional rivers of importance include the Cubango, Cuando and Cuango. Also of note are the Kalandula Falls located on the Lucala River. At 344 ft. (105 m) the Kalandula are one of the largest waterfalls inAfricabased on volume. The Northern Angolan province of Cabinda is separated from the mainland by a narrow strip of land belonging to theDemocratic Republic of Congo (DRC). Luanda the capital city is its primary port located on Angola's northern Atlantic coast. Its the largest city with over 8 million inhabitants in 2019 (a third of Angola's population).
"
"ATG
","Covering an area of only 440 sq. km, the dual-island nation of Antigua and Barbuda are positioned in the Caribbean's Lesser Antilles and help to separate the Atlantic Ocean from the Caribbean Sea.As observed on the map, both islands are relatively low-lying limestone formations; and are ringed by reefs and sandbars, and indented by beaches, small lagoons, and natural harbors. The highest point, as marked on the map, by an upright yellow triangle, is Mount Obama (formerly Boggy Peak), which is located in the hilly region of southwestern Antigua; and is a remnant of a volcanic crater that rises to 405m. There are no rivers of note and only a few streams are present, as rainfall amounts are quite light. The lowest point is the Caribbean Sea (0m).Situated about 63km north of Antigua Island is Barbuda – which is mainly a flat and tree-covered coral island. The highest elevation is 44.5 m (146 ft), and a part of the highland plateau on the eastern edge of the island. The most noteworthy landform of Barbuda’s coastline is the Codrington Bay natural lagoon on the western side of the island.
"
"ARG
","Argentina is a country located in the southern part of South America. Covering an area of 2,780,400 sq.km (1,073,500 sq mi), Argentina is the world's 8th largest country, the 2nd largest country in South America, and the 4th largest country in the Americas. The geography of Argentina include 5 major regions, starting with the rainforest area of the far-northeast along its border with Brazil; the swampy and flat Chaco plain; the fertile (almost treeless) grasslands of the Central Pampas; the lengthy plateau of Patagonia that stretches to Tierra del Fuego; and the Andes Mountains along its western border with Chile.As observed on the physical map of Argentina above, the Pampas, one of the largest fertile plains in the world, covers almost one-third of Argentina's land area.Bordered by mountains and the Atlantic Ocean, the legendary landscape of Patagonia displays huge forests, sizeable mountains, valleys, and many cold-water lakes. The Andes Mountains in Argentina contain advancing glaciers including the Perito Moreno glacier, as well as ""Cerro Aconcagua"" - at 22,831ft (6,959m) is the tallest mountain in South America and in the Southern and Western hemispheres [as marked on the map as a yellow upright triangle]. The lowest point in Argentina as well as the Southern and Western hemispheres is Laguna del Carbon at -344ft (-105m), below the sea level. An inverted yellow triangle marks this extreme point on the physical map.Argentina is also home to impressive Iguazu Falls, and over 250 additional waterfalls of size. Major rivers include the Colorado, Negro, Paraguay, Parana, Salado and Uruguay. The Uruguay and Parana flow together before meeting the Atlantic Ocean forming the basin of the Rio de la Plata.
"
"ARM
","Armenia covers an area of 29,743 sq. km (11,484 sq mi) in Eurasia's South Caucasus region. It is a landlocked country.As observed on the physical map of Armenia above, the topography of the country is very rugged and mountainous. Nearly the entire land is covered by the Lesser (or Little) Caucasus Mountains. The highest point is Mt. Aragats at 13,418 ft. (4,090m). A yellow triangle marks the highest point on the map.Rivers flow fast down through the mountains, and although much of Armenia's land remains at or above 6,562 ft (2,000 m) at least 3% form the valleys of the Araks and Debet rivers.Lake Sevan is the largest lake and it sits 6,000 ft, (2,000 m) above sea level. Significant rivers include the Aras, Debet and Razdan.
"
"AUS
","Covering an area of 7,617,930 sq.km (2,969,907 sq mi), Australia is the smallest continent, the world’s 6thlargest country and the largest country in Oceania. It is located between the Indian and Pacific Oceans in the Southern hemisphere.Australia is extremely dry, with about 35% of the country receiving very little rain (if any). Almost 20% of available land is dominated by deserts and semi-arid land, located along the Tropic of Capricorn.Ayers Rock (Uluru): Considered the largest solitary rock on the planet, its red sandstone surface smoothed by high winds over time is revered as a holy place and called Uluru by the aboriginal people. It’s 1,143ft (348m) high and is located in the semi-arid region of Central Australia.At the northernmost point of Queensland is Cape York Peninsula, described as the world’s “last wilderness”, and as one of the “wildest unexplored wilderness area on the planet”. Cape York is home to jagged-tooth mountains, tropical rainforests, extensive mangrove forests, grasslands, swamps and fast-moving rivers.The Great Dividing Mountain Range extends from Melbourne (in the south) to Cape York (in the north). Located in New South Wales, in the south eastern part of the country is, Mount Kosciuszko, the highest point in the Australian mainland, at an elevation of 7,312ft (2,229m) (as marked on the map by an upright yellow triangle). The lowest point is located in South Australia in the dry bed of Lake Eyre at -49ft (-15m) below sea level.Darling/Murray River System: The Darling River, 1,160 miles (1,879km) in length, flows southwest from the edges of the Great Dividing Range into the Murray River. The Murray rises in the Australian Alps and flows 1,200 miles (1,930km) to the Spencer Gulf, directly west of Adelaide. It’s the longest river in Australia and is a vital source of irrigation for the country’s major agricultural industries.Darling Range: This low mountain range runs through far southwestern Australia. Its highest point is Mt. Cooke at 1,910ft (580m).The Great Barrier Reef: It extends for about 1600 miles off the north eastern coast of Australia.Fraser Island: Located along Australia’s coral sea coastline, to the north of Brisbane (and not shown on this map), Fraser Island is Australia’s 4thlargest island (after Tasmania, Melville Island and Kangaroo Island), and the largest sand island in the world. Created by the action of wind over thousands of years, the island is 120km long and about 115km wide.
"
"AUT
","Austria occupies an area of 83,879 sq. km (32,386 sq mi) in south-central Europe. As observed on the physical map of Austria, the country had diverse topography with a large part of the land being mountainous.In essence, Austria has three main geographical areas. The Lowlands of the east and southeast are the country's agriculture center. A sliver of lowland also fronts the Lake Constance area on its border with Switzerland. In the Hill Country, north of the Danube River, the land rises into forested hills and lower mountains up to its border with the Czech Republic.Most of Austria (70%), is covered by the Alpine Region, central and west, as the Alps extend on into Austria from Switzerland. In this region several branches of the Alps dominate. The major ones include the Bavarian, Carnic and Otztaler ranges. The tallest peaks are in the central Tauern Range. The country's highest point, at 12,460 ft. (3,798 m), is located there. A yellow upright triangle marks the position of this mountain on the map. The Tauern Range eventually slopes into the Danube River Valley, and into the eastern lowlands, from Vienna, south to its border with Slovenia.The Danube (1,771 miles) (2,850 km), is the most significant river in the country. It's the second longest river in Europe, and a vital waterway for commerce. Additional rivers of size include the Drau, Enns, Inn, Mur, Raab and Traun. Dozens and dozens of lakes run amidst the mountain ranges, especially in the south and to the immediate east of Salzburg. The largest in the county is Lake Neusiedler.At 115.45 m (378.8 ft), Lake Neusiedl hosts the lowest point in Austria.
"
